id	language	choices_file	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_choice_word_order	anc_iv_order	anc_tv_order
57	57_svo_ng_er_b_pa	57_svo_ng_er_b_pa.choice	svo	ng	erg-abs	er	balancing	b	poss-acc	pa	vos	VS	VPA
58	58_svo_ng_er_b_ep	58_svo_ng_er_b_ep.choice	svo	ng	erg-abs	er	balancing	b	erg-poss	ep	vos	VS	VPA
59	59_svo_ng_er_b_no	59_svo_ng_er_b_no.choice	svo	ng	erg-abs	er	balancing	b	nomn	no	vos	VS	VPA
60	60_svo_ng_er_d_se	60_svo_ng_er_d_se.choice	svo	ng	erg-abs	er	deranking	d	sent	se	svo	SV	AVP
61	61_svo_ng_er_d_pa	61_svo_ng_er_d_pa.choice	svo	ng	erg-abs	er	deranking	d	poss-acc	pa	vos	VS	VPA
62	62_svo_ng_er_d_ep	62_svo_ng_er_d_ep.choice	svo	ng	erg-abs	er	deranking	d	erg-poss	ep	vos	VS	VPA
63	63_svo_ng_er_d_no	63_svo_ng_er_d_no.choice	svo	ng	erg-abs	er	deranking	d	nomn	no	vos	VS	VPA
64	64_vos_gn_ac_b_se	64_vos_gn_ac_b_se.choice	vos	gn	nom-acc	ac	balancing	b	sent	se	vos	VS	VPA
65	65_vos_gn_ac_b_pa	65_vos_gn_ac_b_pa.choice	vos	gn	nom-acc	ac	balancing	b	poss-acc	pa	svo	SV	AVP
66	66_vos_gn_ac_b_ep	66_vos_gn_ac_b_ep.choice	vos	gn	nom-acc	ac	balancing	b	erg-poss	ep	sov	SV	PVA
67	67_vos_gn_ac_b_no	67_vos_gn_ac_b_no.choice	vos	gn	nom-acc	ac	balancing	b	nomn	no	svo	SV	AVP
68	68_vos_gn_ac_d_se	68_vos_gn_ac_d_se.choice	vos	gn	nom-acc	ac	deranking	d	sent	se	vos	VS	VPA
69	69_vos_gn_ac_d_pa	69_vos_gn_ac_d_pa.choice	vos	gn	nom-acc	ac	deranking	d	poss-acc	pa	svo	SV	AVP
70	70_vos_gn_ac_d_ep	70_vos_gn_ac_d_ep.choice	vos	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	SV	PVA
71	71_vos_gn_ac_d_no	71_vos_gn_ac_d_no.choice	vos	gn	nom-acc	ac	deranking	d	nomn	no	svo	SV	AVP
72	72_vos_gn_er_b_se	72_vos_gn_er_b_se.choice	vos	gn	erg-abs	er	balancing	b	sent	se	vos	VS	VPA
73	73_vos_gn_er_b_pa	73_vos_gn_er_b_pa.choice	vos	gn	erg-abs	er	balancing	b	poss-acc	pa	svo	SV	AVP
74	74_vos_gn_er_b_ep	74_vos_gn_er_b_ep.choice	vos	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	SV	PVA
75	75_vos_gn_er_b_no	75_vos_gn_er_b_no.choice	vos	gn	erg-abs	er	balancing	b	nomn	no	svo	SV	AVP
76	76_vos_gn_er_d_se	76_vos_gn_er_d_se.choice	vos	gn	erg-abs	er	deranking	d	sent	se	vos	VS	VPA
77	77_vos_gn_er_d_pa	77_vos_gn_er_d_pa.choice	vos	gn	erg-abs	er	deranking	d	poss-acc	pa	svo	SV	AVP
78	78_vos_gn_er_d_ep	78_vos_gn_er_d_ep.choice	vos	gn	erg-abs	er	deranking	d	erg-poss	ep	sov	SV	PVA
79	79_vos_gn_er_d_no	79_vos_gn_er_d_no.choice	vos	gn	erg-abs	er	deranking	d	nomn	no	svo	SV	AVP
80	80_vos_ng_ac_b_se	80_vos_ng_ac_b_se.choice	vos	ng	nom-acc	ac	balancing	b	sent	se	vos	VS	VPA
81	81_vos_ng_ac_b_pa	81_vos_ng_ac_b_pa.choice	vos	ng	nom-acc	ac	balancing	b	poss-acc	pa	vos	VS	VPA
82	82_vos_ng_ac_b_ep	82_vos_ng_ac_b_ep.choice	vos	ng	nom-acc	ac	balancing	b	erg-poss	ep	vos	VS	VPA
83	83_vos_ng_ac_b_no	83_vos_ng_ac_b_no.choice	vos	ng	nom-acc	ac	balancing	b	nomn	no	vos	VS	VPA
84	84_vos_ng_ac_d_se	84_vos_ng_ac_d_se.choice	vos	ng	nom-acc	ac	deranking	d	sent	se	vos	VS	VPA
85	85_vos_ng_ac_d_pa	85_vos_ng_ac_d_pa.choice	vos	ng	nom-acc	ac	deranking	d	poss-acc	pa	vos	VS	VPA
86	86_vos_ng_ac_d_ep	86_vos_ng_ac_d_ep.choice	vos	ng	nom-acc	ac	deranking	d	erg-poss	ep	vos	VS	VPA
87	87_vos_ng_ac_d_no	87_vos_ng_ac_d_no.choice	vos	ng	nom-acc	ac	deranking	d	nomn	no	vos	VS	VPA
88	88_vos_ng_er_b_se	88_vos_ng_er_b_se.choice	vos	ng	erg-abs	er	balancing	b	sent	se	vos	VS	VPA
89	89_vos_ng_er_b_pa	89_vos_ng_er_b_pa.choice	vos	ng	erg-abs	er	balancing	b	poss-acc	pa	vos	VS	VPA
90	90_vos_ng_er_b_ep	90_vos_ng_er_b_ep.choice	vos	ng	erg-abs	er	balancing	b	erg-poss	ep	vos	VS	VPA
91	91_vos_ng_er_b_no	91_vos_ng_er_b_no.choice	vos	ng	erg-abs	er	balancing	b	nomn	no	vos	VS	VPA
92	92_vos_ng_er_d_se	92_vos_ng_er_d_se.choice	vos	ng	erg-abs	er	deranking	d	sent	se	vos	VS	VPA
93	93_vos_ng_er_d_pa	93_vos_ng_er_d_pa.choice	vos	ng	erg-abs	er	deranking	d	poss-acc	pa	vos	VS	VPA
94	94_vos_ng_er_d_ep	94_vos_ng_er_d_ep.choice	vos	ng	erg-abs	er	deranking	d	erg-poss	ep	vos	VS	VPA
95	95_vos_ng_er_d_no	95_vos_ng_er_d_no.choice	vos	ng	erg-abs	er	deranking	d	nomn	no	vos	VS	VPA
